hemisphere,schaefer_parcel_index,num_vertices,mean_ncsnr,top_snr_rank_within_hemi,in_top_snr_200,top200_token_index,dominant_roi,functional_level,dominant_overlap,all_roi_overlaps
lh,15,171,0.3729315996170044,69,True,68,Unlabeled,unlabeled,0.0,"[{""collection"":""prf-visualrois"",""roi"":""V3v"",""group"":""V3"",""level"":""low_level"",""overlap"":0.03508771929824561}]"
lh,16,222,0.4418669641017914,53,True,52,Unlabeled,unlabeled,0.0,"[{""collection"":""prf-visualrois"",""roi"":""V3v"",""group"":""V3"",""level"":""low_level"",""overlap"":0.5},{""collection"":""prf-visualrois"",""roi"":""V2v"",""group"":""V2"",""level"":""low_level"",""overlap"":0.27927927927927926}]"
lh,17,148,0.6296619772911072,16,True,15,V3,low_level,0.6351351351351351,"[{""collection"":""prf-visualrois"",""roi"":""V3v"",""group"":""V3"",""level"":""low_level"",""overlap"":0.6351351351351351},{""collection"":""prf-visualrois"",""roi"":""V2v"",""group"":""V2"",""level"":""low_level"",""overlap"":0.21621621621621623},{""collection"":""prf-visualrois"",""roi"":""hV4"",""group"":""V4"",""level"":""low_level"",""overlap"":0.14864864864864866}]"
lh,18,193,0.48102566599845886,42,True,41,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-places"",""roi"":""PPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.13471502590673576}]"
lh,19,214,0.30688461661338806,95,True,94,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-places"",""roi"":""PPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.2383177570093458}]"
lh,20,259,0.47377699613571167,45,True,44,Word,high_level,0.7644787644787645,"[{""collection"":""floc-words"",""roi"":""VWFA-1"",""group"":""Word"",""level"":""high_level"",""overlap"":0.7644787644787645},{""collection"":""floc-bodies"",""roi"":""EBA"",""group"":""Body"",""level"":""high_level"",""overlap"":0.6988416988416989}]"
lh,21,179,0.16944172978401184,237,False,,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-places"",""roi"":""PPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.00558659217877095}]"
lh,22,221,0.1850503385066986,203,False,,Unlabeled,unlabeled,0.0,[]
lh,23,222,0.552130937576294,23,True,22,Face,high_level,0.5540540540540541,"[{""collection"":""floc-faces"",""roi"":""OFA"",""group"":""Face"",""level"":""high_level"",""overlap"":0.5540540540540541},{""collection"":""prf-visualrois"",""roi"":""V3v"",""group"":""V3"",""level"":""low_level"",""overlap"":0.527027027027027},{""collection"":""floc-words"",""roi"":""OWFA"",""group"":""Word"",""level"":""high_level"",""overlap"":0.2972972972972973},{""collection"":""prf-visualrois"",""roi"":""hV4"",""group"":""V4"",""level"":""low_level"",""overlap"":0.22522522522522523},{""collection"":""prf-visualrois"",""roi"":""V2v"",""group"":""V2"",""level"":""low_level"",""overlap"":0.036036036036036036}]"
lh,24,306,0.11025147140026093,375,False,,Unlabeled,unlabeled,0.0,[]
lh,25,236,0.0957089439034462,408,False,,Unlabeled,unlabeled,0.0,[]
lh,26,318,0.7401266098022461,6,True,5,V1,low_level,0.550314465408805,"[{""collection"":""prf-visualrois"",""roi"":""V1v"",""group"":""V1"",""level"":""low_level"",""overlap"":0.550314465408805},{""collection"":""prf-visualrois"",""roi"":""V2v"",""group"":""V2"",""level"":""low_level"",""overlap"":0.2672955974842767}]"
lh,27,535,0.4310263395309448,55,True,54,Unlabeled,unlabeled,0.0,"[{""collection"":""prf-visualrois"",""roi"":""V1v"",""group"":""V1"",""level"":""low_level"",""overlap"":0.4504672897196262},{""collection"":""prf-visualrois"",""roi"":""V2v"",""group"":""V2"",""level"":""low_level"",""overlap"":0.38317757009345793},{""collection"":""prf-visualrois"",""roi"":""V1d"",""group"":""V1"",""level"":""low_level"",""overlap"":0.15700934579439252},{""collection"":""prf-visualrois"",""roi"":""V2d"",""group"":""V2"",""level"":""low_level"",""overlap"":0.009345794392523364}]"
lh,28,326,0.514133870601654,32,True,31,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-faces"",""roi"":""OFA"",""group"":""Face"",""level"":""high_level"",""overlap"":0.4662576687116564},{""collection"":""floc-bodies"",""roi"":""EBA"",""group"":""Body"",""level"":""high_level"",""overlap"":0.37423312883435583},{""collection"":""floc-words"",""roi"":""OWFA"",""group"":""Word"",""level"":""high_level"",""overlap"":0.3098159509202454},{""collection"":""floc-words"",""roi"":""VWFA-1"",""group"":""Word"",""level"":""high_level"",""overlap"":0.2361963190184049}]"
lh,29,233,0.7368682622909546,7,True,6,V1,low_level,0.871244635193133,"[{""collection"":""prf-visualrois"",""roi"":""V1v"",""group"":""V1"",""level"":""low_level"",""overlap"":0.871244635193133},{""collection"":""prf-visualrois"",""roi"":""V1d"",""group"":""V1"",""level"":""low_level"",""overlap"":0.10300429184549356},{""collection"":""prf-visualrois"",""roi"":""V2v"",""group"":""V2"",""level"":""low_level"",""overlap"":0.02575107296137339}]"
lh,30,327,0.3094053566455841,92,True,91,Unlabeled,unlabeled,0.0,[]
lh,31,169,0.09317485243082047,413,False,,Unlabeled,unlabeled,0.0,[]
lh,32,216,0.5701537728309631,21,True,20,V3,low_level,0.5092592592592593,"[{""collection"":""prf-visualrois"",""roi"":""V3d"",""group"":""V3"",""level"":""low_level"",""overlap"":0.5092592592592593},{""collection"":""prf-visualrois"",""roi"":""V2d"",""group"":""V2"",""level"":""low_level"",""overlap"":0.4166666666666667},{""collection"":""floc-faces"",""roi"":""OFA"",""group"":""Face"",""level"":""high_level"",""overlap"":0.05555555555555555},{""collection"":""prf-visualrois"",""roi"":""V2v"",""group"":""V2"",""level"":""low_level"",""overlap"":0.037037037037037035},{""collection"":""prf-visualrois"",""roi"":""V3v"",""group"":""V3"",""level"":""low_level"",""overlap"":0.032407407407407406}]"
lh,33,250,0.4952622056007385,37,True,36,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-bodies"",""roi"":""EBA"",""group"":""Body"",""level"":""high_level"",""overlap"":0.244},{""collection"":""floc-words"",""roi"":""OWFA"",""group"":""Word"",""level"":""high_level"",""overlap"":0.204},{""collection"":""prf-visualrois"",""roi"":""V3d"",""group"":""V3"",""level"":""low_level"",""overlap"":0.108}]"
lh,34,288,0.17258252203464508,229,False,,Unlabeled,unlabeled,0.0,[]
lh,35,354,0.6210088133811951,19,True,18,Body,high_level,0.9774011299435028,"[{""collection"":""floc-bodies"",""roi"":""EBA"",""group"":""Body"",""level"":""high_level"",""overlap"":0.9774011299435028},{""collection"":""floc-words"",""roi"":""VWFA-1"",""group"":""Word"",""level"":""high_level"",""overlap"":0.002824858757062147}]"
lh,36,255,0.09167459607124329,416,False,,Unlabeled,unlabeled,0.0,[]
lh,37,568,0.1745513379573822,222,False,,Unlabeled,unlabeled,0.0,[]
lh,38,184,0.8837939500808716,1,True,0,V1,low_level,0.6793478260869565,"[{""collection"":""prf-visualrois"",""roi"":""V1d"",""group"":""V1"",""level"":""low_level"",""overlap"":0.6793478260869565},{""collection"":""prf-visualrois"",""roi"":""V1v"",""group"":""V1"",""level"":""low_level"",""overlap"":0.32065217391304346}]"
lh,39,241,0.7105841040611267,9,True,8,V1,low_level,1.0,"[{""collection"":""prf-visualrois"",""roi"":""V1d"",""group"":""V1"",""level"":""low_level"",""overlap"":1.0}]"
lh,40,249,0.19070348143577576,197,False,,Unlabeled,unlabeled,0.0,[]
lh,41,293,0.7882688641548157,2,True,1,Body,high_level,1.0,"[{""collection"":""floc-bodies"",""roi"":""EBA"",""group"":""Body"",""level"":""high_level"",""overlap"":1.0},{""collection"":""floc-faces"",""roi"":""OFA"",""group"":""Face"",""level"":""high_level"",""overlap"":0.05460750853242321}]"
lh,42,275,0.2744899392127991,118,False,,Unlabeled,unlabeled,0.0,"[{""collection"":""prf-visualrois"",""roi"":""V1d"",""group"":""V1"",""level"":""low_level"",""overlap"":0.15272727272727274},{""collection"":""prf-visualrois"",""roi"":""V1v"",""group"":""V1"",""level"":""low_level"",""overlap"":0.11636363636363636}]"
lh,43,218,0.6397836208343506,14,True,13,V1,low_level,0.6926605504587156,"[{""collection"":""prf-visualrois"",""roi"":""V1d"",""group"":""V1"",""level"":""low_level"",""overlap"":0.6926605504587156},{""collection"":""prf-visualrois"",""roi"":""V2d"",""group"":""V2"",""level"":""low_level"",""overlap"":0.3073394495412844}]"
lh,44,130,0.5204342603683472,29,True,28,Body,high_level,0.9076923076923077,"[{""collection"":""floc-bodies"",""roi"":""EBA"",""group"":""Body"",""level"":""high_level"",""overlap"":0.9076923076923077}]"
lh,45,281,0.06536475569009781,467,False,,Unlabeled,unlabeled,0.0,[]
lh,46,315,0.087447389960289,428,False,,Unlabeled,unlabeled,0.0,[]
lh,47,189,0.314626008272171,90,True,89,Unlabeled,unlabeled,0.0,[]
lh,48,326,0.6668669581413269,12,True,11,V3,low_level,0.5398773006134969,"[{""collection"":""prf-visualrois"",""roi"":""V3d"",""group"":""V3"",""level"":""low_level"",""overlap"":0.5398773006134969},{""collection"":""prf-visualrois"",""roi"":""V2d"",""group"":""V2"",""level"":""low_level"",""overlap"":0.4601226993865031}]"
lh,49,243,0.12054294347763062,353,False,,Unlabeled,unlabeled,0.0,[]
lh,50,181,0.12279921770095825,345,False,,Unlabeled,unlabeled,0.0,[]
lh,51,162,0.6222882866859436,18,True,17,V1,low_level,0.7777777777777778,"[{""collection"":""prf-visualrois"",""roi"":""V1d"",""group"":""V1"",""level"":""low_level"",""overlap"":0.7777777777777778},{""collection"":""prf-visualrois"",""roi"":""V2d"",""group"":""V2"",""level"":""low_level"",""overlap"":0.06790123456790123}]"
lh,52,323,0.5134915113449097,33,True,32,Unlabeled,unlabeled,0.0,"[{""collection"":""prf-visualrois"",""roi"":""V3d"",""group"":""V3"",""level"":""low_level"",""overlap"":0.2043343653250774},{""collection"":""floc-bodies"",""roi"":""EBA"",""group"":""Body"",""level"":""high_level"",""overlap"":0.20123839009287925},{""collection"":""floc-places"",""roi"":""OPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.015479876160990712}]"
lh,53,192,0.7673738598823547,3,True,2,V2,low_level,0.8177083333333334,"[{""collection"":""prf-visualrois"",""roi"":""V2d"",""group"":""V2"",""level"":""low_level"",""overlap"":0.8177083333333334},{""collection"":""prf-visualrois"",""roi"":""V1d"",""group"":""V1"",""level"":""low_level"",""overlap"":0.18229166666666666}]"
lh,54,80,0.5363700985908508,26,True,25,Scene,high_level,0.75,"[{""collection"":""floc-places"",""roi"":""RSC"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.75}]"
lh,55,465,0.1537807285785675,274,False,,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-places"",""roi"":""RSC"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.06666666666666667}]"
lh,56,194,0.11008865386247635,376,False,,Unlabeled,unlabeled,0.0,[]
lh,57,204,0.7609300017356873,4,True,3,V3,low_level,0.5196078431372549,"[{""collection"":""prf-visualrois"",""roi"":""V3d"",""group"":""V3"",""level"":""low_level"",""overlap"":0.5196078431372549},{""collection"":""prf-visualrois"",""roi"":""V2d"",""group"":""V2"",""level"":""low_level"",""overlap"":0.4803921568627451}]"
lh,58,85,0.6841720342636108,10,True,9,Body,high_level,1.0,"[{""collection"":""floc-bodies"",""roi"":""EBA"",""group"":""Body"",""level"":""high_level"",""overlap"":1.0}]"
lh,59,257,0.12067440897226334,352,False,,Unlabeled,unlabeled,0.0,[]
lh,60,358,0.5291171669960022,28,True,27,Body,high_level,0.88268156424581,"[{""collection"":""floc-bodies"",""roi"":""EBA"",""group"":""Body"",""level"":""high_level"",""overlap"":0.88268156424581},{""collection"":""floc-places"",""roi"":""OPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.09217877094972067}]"
lh,61,252,0.3773611783981323,66,True,65,Unlabeled,unlabeled,0.0,"[{""collection"":""prf-visualrois"",""roi"":""V2d"",""group"":""V2"",""level"":""low_level"",""overlap"":0.3888888888888889},{""collection"":""prf-visualrois"",""roi"":""V3d"",""group"":""V3"",""level"":""low_level"",""overlap"":0.007936507936507936}]"
lh,62,102,0.5457936525344849,24,True,23,Scene,high_level,0.803921568627451,"[{""collection"":""floc-places"",""roi"":""RSC"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.803921568627451}]"
lh,63,182,0.5719456672668457,20,True,19,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-places"",""roi"":""OPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.33516483516483514},{""collection"":""prf-visualrois"",""roi"":""V3d"",""group"":""V3"",""level"":""low_level"",""overlap"":0.31868131868131866}]"
lh,64,128,0.4810301959514618,41,True,40,Scene,high_level,0.9453125,"[{""collection"":""floc-places"",""roi"":""OPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.9453125},{""collection"":""floc-bodies"",""roi"":""EBA"",""group"":""Body"",""level"":""high_level"",""overlap"":0.078125}]"
lh,65,188,0.11594727635383606,364,False,,Unlabeled,unlabeled,0.0,[]
lh,66,191,0.17143414914608002,231,False,,Unlabeled,unlabeled,0.0,[]
lh,67,215,0.42858341336250305,57,True,56,Unlabeled,unlabeled,0.0,"[{""collection"":""prf-visualrois"",""roi"":""V3d"",""group"":""V3"",""level"":""low_level"",""overlap"":0.4790697674418605},{""collection"":""prf-visualrois"",""roi"":""V2d"",""group"":""V2"",""level"":""low_level"",""overlap"":0.07441860465116279},{""collection"":""floc-places"",""roi"":""OPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.004651162790697674}]"
lh,68,171,0.15059052407741547,285,False,,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-places"",""roi"":""RSC"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.14035087719298245}]"
lh,69,302,0.5175578594207764,31,True,30,Scene,high_level,0.6125827814569537,"[{""collection"":""floc-places"",""roi"":""OPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.6125827814569537},{""collection"":""prf-visualrois"",""roi"":""V3d"",""group"":""V3"",""level"":""low_level"",""overlap"":0.0695364238410596}]"
lh,70,258,0.11688756942749023,362,False,,Unlabeled,unlabeled,0.0,[]
lh,71,370,0.5441173315048218,25,True,24,Scene,high_level,0.7621621621621621,"[{""collection"":""floc-places"",""roi"":""OPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.7621621621621621}]"
lh,72,218,0.24218693375587463,137,False,,Unlabeled,unlabeled,0.0,[]
lh,73,221,0.4430970847606659,52,True,51,Scene,high_level,0.7104072398190046,"[{""collection"":""floc-places"",""roi"":""OPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.7104072398190046}]"
lh,74,303,0.20707584917545319,170,False,,Unlabeled,unlabeled,0.0,[]
lh,75,302,0.20636199414730072,171,False,,Unlabeled,unlabeled,0.0,"[{""collection"":""floc-places"",""roi"":""OPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.016556291390728478}]"
lh,76,276,0.4278430640697479,58,True,57,Scene,high_level,0.7137681159420289,"[{""collection"":""floc-places"",""roi"":""OPA"",""group"":""Scene"",""level"":""high_level"",""overlap"":0.7137681159420289}]"
lh,77,269,0.2518296539783478,134,False,,Unlabeled,unlabeled,0.0,[]
lh,78,284,0.26830151677131653,122,False,,Unlabeled,unlabeled,0.0,[]
lh,79,241,0.35764259099960327,72,True,71,Unlabeled,unlabeled,0.0,[]
lh,80,255,0.25478899478912354,130,False,,Unlabeled,unlabeled,0.0,[]
lh,81,354,0.0750344842672348,445,False,,Unlabeled,unlabeled,0.0,[]
lh,82,478,0.09732213616371155,401,False,,Unlabeled,unlabeled,0.0,[]
lh,83,187,0.13807886838912964,313,False,,Unlabeled,unlabeled,0.0,[]
lh,84,179,0.11170107126235962,368,False,,Unlabeled,unlabeled,0.0,[]
lh,85,195,0.09667067229747772,404,False,,Unlabeled,unlabeled,0.0,[]
lh,86,352,0.0502651184797287,487,False,,Unlabeled,unlabeled,0.0,[]
lh,87,225,0.16407592594623566,251,False,,Unlabeled,unlabeled,0.0,[]
lh,88,402,0.07207392901182175,455,False,,Unlabeled,unlabeled,0.0,[]
lh,89,420,0.1391848623752594,311,False,,Unlabeled,unlabeled,0.0,[]
lh,90,152,0.04544498398900032,492,False,,Unlabeled,unlabeled,0.0,[]
lh,91,416,0.0639537125825882,471,False,,Unlabeled,unlabeled,0.0,[]
lh,92,283,0.09872704744338989,396,False,,Unlabeled,unlabeled,0.0,[]
lh,93,280,0.217525914311409,155,False,,Unlabeled,unlabeled,0.0,[]
lh,94,336,0.1099490076303482,377,False,,Unlabeled,unlabeled,0.0,[]
lh,95,375,0.0680110976099968,464,False,,Unlabeled,unlabeled,0.0,[]
lh,96,228,0.0999285876750946,394,False,,Unlabeled,unlabeled,0.0,[]
lh,97,434,0.10198817402124405,390,False,,Unlabeled,unlabeled,0.0,[]
lh,98,185,0.0902400016784668,419,False,,Unlabeled,unlabeled,0.0,[]
lh,99,219,0.2948925495147705,103,False,,Unlabeled,unlabeled,0.0,[]
lh,100,493,0.162019282579422,257,False,,Unlabeled,unlabeled,0.0,[]
lh,101,313,0.13931621611118317,309,False,,Unlabeled,unlabeled,0.0,[]
lh,102,172,0.20066574215888977,176,False,,Unlabeled,unlabeled,0.0,[]
lh,103,155,0.3327607214450836,83,True,82,Unlabeled,unlabeled,0.0,[]
lh,104,380,0.09658221900463104,405,False,,Unlabeled,unlabeled,0.0,[]
lh,105,444,0.17592184245586395,219,False,,Unlabeled,unlabeled,0.0,[]
lh,106,239,0.17960329353809357,212,False,,Unlabeled,unlabeled,0.0,[]
lh,107,318,0.11808023601770401,358,False,,Unlabeled,unlabeled,0.0,[]
lh,108,437,0.13587190210819244,321,False,,Unlabeled,unlabeled,0.0,[]
lh,109,138,0.11165830492973328,369,False,,Unlabeled,unlabeled,0.0,[]
lh,110,229,0.2399691790342331,138,False,,Unlabeled,unlabeled,0.0,[]
lh,111,334,0.12881538271903992,334,False,,Unlabeled,unlabeled,0.0,[]
lh,112,209,0.09962941706180573,395,False,,Unlabeled,unlabeled,0.0,[]
lh,113,419,0.12289739400148392,344,False,,Unlabeled,unlabeled,0.0,[]
lh,114,326,0.11209990829229355,367,False,,Unlabeled,unlabeled,0.0,[]
lh,115,313,0.13576431572437286,323,False,,Unlabeled,unlabeled,0.0,[]
lh,116,509,0.11793015897274017,359,False,,Unlabeled,unlabeled,0.0,[]
lh,117,168,0.08860083669424057,422,False,,Unlabeled,unlabeled,0.0,[]
lh,118,297,0.12181002646684647,346,False,,Unlabeled,unlabeled,0.0,[]
lh,119,583,0.13638821244239807,320,False,,Unlabeled,unlabeled,0.0,[]
lh,120,439,0.08710154891014099,429,False,,Unlabeled,unlabeled,0.0,[]
lh,121,293,0.07355934381484985,450,False,,Unlabeled,unlabeled,0.0,[]
lh,122,406,0.11114034056663513,372,False,,Unlabeled,unlabeled,0.0,[]
lh,123,410,0.18093454837799072,211,False,,Unlabeled,unlabeled,0.0,[]
lh,124,139,0.08819759637117386,424,False,,Unlabeled,unlabeled,0.0,[]
lh,125,352,0.11670977622270584,363,False,,Unlabeled,unlabeled,0.0,[]
lh,126,207,0.0650566965341568,468,False,,Unlabeled,unlabeled,0.0,[]
lh,127,297,0.08174224197864532,435,False,,Unlabeled,unlabeled,0.0,[]
lh,128,454,0.09590908139944077,407,False,,Unlabeled,unlabeled,0.0,[]
lh,129,431,0.08166933804750443,436,False,,Unlabeled,unlabeled,0.0,[]
lh,130,579,0.10065164417028427,392,False,,Unlabeled,unlabeled,0.0,[]
lh,131,277,0.05794643610715866,477,False,,Unlabeled,unlabeled,0.0,[]
lh,132,154,0.06936272978782654,461,False,,Unlabeled,unlabeled,0.0,[]
lh,133,168,0.14484019577503204,301,False,,Unlabeled,unlabeled,0.0,[]
lh,134,198,0.09623997658491135,406,False,,Unlabeled,unlabeled,0.0,[]
lh,135,273,0.07469025999307632,446,False,,Unlabeled,unlabeled,0.0,[]
lh,136,495,0.07405408471822739,449,False,,Unlabeled,unlabeled,0.0,[]
lh,137,538,0.0753888264298439,444,False,,Unlabeled,unlabeled,0.0,[]
lh,138,548,0.07635600864887238,443,False,,Unlabeled,unlabeled,0.0,[]
lh,139,311,0.11817924678325653,357,False,,Unlabeled,unlabeled,0.0,[]
lh,140,223,0.06298740208148956,472,False,,Unlabeled,unlabeled,0.0,[]
lh,141,375,0.09432521462440491,411,False,,Unlabeled,unlabeled,0.0,[]
lh,142,307,0.098494753241539,397,False,,Unlabeled,unlabeled,0.0,[]
lh,143,523,0.08341801911592484,431,False,,Unlabeled,unlabeled,0.0,[]
lh,144,387,0.07860885560512543,438,False,,Unlabeled,unlabeled,0.0,[]
lh,145,218,0.06743703037500381,465,False,,Unlabeled,unlabeled,0.0,[]
lh,146,547,0.07256877422332764,453,False,,Unlabeled,unlabeled,0.0,[]
lh,147,331,0.07078693807125092,457,False,,Unlabeled,unlabeled,0.0,[]
lh,148,330,0.07730978727340698,440,False,,Unlabeled,unlabeled,0.0,[]
lh,149,192,0.04510810971260071,493,False,,Unlabeled,unlabeled,0.0,[]
lh,150,254,0.10802146792411804,385,False,,Unlabeled,unlabeled,0.0,[]
lh,151,220,0.09829263389110565,399,False,,Unlabeled,unlabeled,0.0,[]
lh,152,176,0.04661691561341286,490,False,,Unlabeled,unlabeled,0.0,[]
lh,153,313,0.0767102986574173,441,False,,Unlabeled,unlabeled,0.0,[]
lh,154,123,0.09368839114904404,412,False,,Unlabeled,unlabeled,0.0,[]
lh,155,287,0.1107826679944992,373,False,,Unlabeled,unlabeled,0.0,[]
lh,156,291,0.11146673560142517,370,False,,Unlabeled,unlabeled,0.0,[]
lh,157,275,0.06862374395132065,463,False,,Unlabeled,unlabeled,0.0,[]
