dataset_idx,nsd_image_id,coco_image_id,coco_split,face_confidence,face_area_ratio,face_count,person_area_ratio,person_count,clip_face,clip_body,clip_scene,clip_word,clip_other,ocr_available,ocr_character_count,ocr_area_ratio,face_flag,body_flag,scene_flag,word_flag,confirmatory_category,exclusion_reason,face_selection_score,body_selection_score,scene_selection_score,word_selection_score,analysis_role
676,49234,425712,train2017,0.0,0.0,0,0.0,0,0.007599165663123131,0.07370089739561081,0.17195691168308258,0.5029658675193787,0.24377712607383728,False,0,0.0,False,False,False,True,,no_confirmatory_category,7.599165663123131e-09,7.37008973956108e-08,0.17195691168308258,0.5029658675193787,exploratory_word_no_ocr
868,63182,294744,train2017,0.0,0.0,0,0.0,0,0.016836289316415787,0.25216785073280334,0.16130954027175903,0.4974392056465149,0.07224701344966888,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.6836289316415787e-08,2.5216785073280335e-07,0.16130954027175903,0.4974392056465149,exploratory_word_no_ocr
974,70585,246453,train2017,0.0,0.0,0,0.0,0,0.006551661062985659,0.12692862749099731,0.15023377537727356,0.49580147862434387,0.2204844355583191,False,0,0.0,False,False,False,True,,no_confirmatory_category,6.551661062985659e-09,1.2692862749099732e-07,0.15023377537727356,0.49580147862434387,exploratory_word_no_ocr
448,33521,101952,train2017,0.0,0.0,0,0.0,0,0.019303806126117706,0.12262332439422607,0.18539616465568542,0.49071550369262695,0.18196117877960205,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.9303806126117706e-08,1.2262332439422606e-07,0.18539616465568542,0.49071550369262695,exploratory_word_no_ocr
34,4768,267647,train2017,0.966519038285463,0.035432525951557096,2,0.0,0,0.21537718176841736,0.19257116317749023,0.013947878032922745,0.488803893327713,0.08929993212223053,False,0,0.0,False,False,False,True,,no_confirmatory_category,0.034246210906723674,1.9257116317749022e-07,0.013947878032922745,0.488803893327713,exploratory_word_no_ocr
418,31049,92288,train2017,0.0,0.0,0,0.0,0,0.010787157341837883,0.22934330999851227,0.10147884488105774,0.4798843562602997,0.17850631475448608,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.0787157341837882e-08,2.2934330999851227e-07,0.10147884488105774,0.4798843562602997,exploratory_word_no_ocr
406,30563,352724,train2017,0.0,0.0,0,0.0,0,0.003138746367767453,0.06795886158943176,0.1212705597281456,0.47719570994377136,0.33043602108955383,False,0,0.0,False,False,False,True,,no_confirmatory_category,3.138746367767453e-09,6.795886158943176e-08,0.1212705597281456,0.47719570994377136,exploratory_word_no_ocr
210,17374,567837,train2017,0.0,0.0,0,0.0,0,0.1763225644826889,0.18884527683258057,0.03654974326491356,0.4679361879825592,0.13034629821777344,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.763225644826889e-07,1.8884527683258057e-07,0.03654974326491356,0.4679361879825592,exploratory_word_no_ocr
205,16917,263276,train2017,0.0,0.0,0,0.0,0,0.019420405849814415,0.13131165504455566,0.1400093287229538,0.46532896161079407,0.2439296990633011,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.9420405849814413e-08,1.3131165504455565e-07,0.1400093287229538,0.46532896161079407,exploratory_word_no_ocr
176,14644,573830,train2017,0.0,0.0,0,0.0,0,0.052942048758268356,0.061848316341638565,0.054239049553871155,0.4627758860588074,0.36819469928741455,False,0,0.0,False,False,False,True,,no_confirmatory_category,5.2942048758268355e-08,6.184831634163856e-08,0.054239049553871155,0.4627758860588074,exploratory_word_no_ocr
929,67237,344729,train2017,0.0,0.0,0,0.11086602971311475,1,0.011813445948064327,0.09208954870700836,0.01265686098486185,0.4582870900630951,0.42515307664871216,False,0,0.0,False,False,False,True,,no_confirmatory_category,1.1813445948064327e-08,0.010209602643218517,0.011253645058839393,0.4582870900630951,exploratory_word_no_ocr
