category,dominant_overlap,dominant_roi,group_overlap__Body,group_overlap__Face,group_overlap__Scene,group_overlap__V1,group_overlap__V2,group_overlap__V3,group_overlap__V4,group_overlap__Word,hemisphere,max_off_target_overlap,mean_ncsnr,num_groups_ge_0.10,num_groups_ge_0.25,num_groups_ge_0.40,num_groups_ge_0.50,num_vertices,purity_margin,roi_overlap__floc-bodies__EBA,roi_overlap__floc-bodies__FBA-1,roi_overlap__floc-bodies__FBA-2,roi_overlap__floc-faces__FFA-1,roi_overlap__floc-faces__FFA-2,roi_overlap__floc-faces__OFA,roi_overlap__floc-places__OPA,roi_overlap__floc-places__PPA,roi_overlap__floc-places__RSC,roi_overlap__floc-words__OWFA,roi_overlap__floc-words__VWFA-1,roi_overlap__floc-words__VWFA-2,roi_overlap__floc-words__mfs-words,roi_overlap__prf-visualrois__V2v,roi_overlap__prf-visualrois__V3d,roi_overlap__prf-visualrois__V3v,roi_overlap__prf-visualrois__hV4,schaefer_parcel_index,target_group_max_overlap,target_off_target_dual_high_overlap,top200_token_index
Body,0.9653179190751445,Body,0.9653179190751445,0.7976878612716763,0.0,0.0,0.0,0.0,0.0,0.14450867052023122,rh,0.7976878612716763,0.7581679224967957,3,2,2,2,173,0.16763005780346818,,,0.9653179190751445,0.14450867052023122,0.7976878612716763,,,,,,,0.14450867052023122,,,,,,185,0.9653179190751445,True,104
Body,1.0,Body,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.7405180931091309,1,1,1,1,294,1.0,1.0,,,,,,,,,,,,,,,,,191,1.0,False,106
Body,0.9016949152542373,Body,0.9016949152542373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.704392671585083,1,1,1,1,295,0.9016949152542373,0.9016949152542373,,,,,,,,,,,,,,,,,247,0.9016949152542373,False,110
Body,0.996031746031746,Body,0.996031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.6780449151992798,1,1,1,1,252,0.996031746031746,0.996031746031746,,,,,,,,,,,,,,,,,192,0.996031746031746,False,111
Body,0.9797297297297297,Body,0.9797297297297297,0.0,0.07432432432432433,0.0,0.0,0.0,0.0,0.0,rh,0.07432432432432433,0.6666034460067749,1,1,1,1,296,0.9054054054054054,0.9797297297297297,,,,,,0.07432432432432433,,,,,,,,,,,48,0.9797297297297297,False,113
Body,0.8433333333333334,Body,0.8433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.41,rh,0.41,0.5975874662399292,2,2,2,1,300,0.4333333333333334,0.8433333333333334,,,,,,,,,,0.41,,,,,,,20,0.8433333333333334,False,118
Body,0.6618075801749271,Body,0.6618075801749271,0.0,0.0,0.0,0.0,0.0,0.0,0.5539358600583091,rh,0.5539358600583091,0.5621882677078247,2,2,2,2,343,0.10787172011661805,0.6618075801749271,,,,,,,,,,0.5539358600583091,0.02040816326530612,,,,,,187,0.6618075801749271,True,125
Body,0.9638009049773756,Body,0.9638009049773756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.5264740586280823,1,1,1,1,221,0.9638009049773756,0.9638009049773756,,,,,,,,,,,,,,,,,193,0.9638009049773756,False,136
Body,0.5953488372093023,Body,0.5953488372093023,0.4441860465116279,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.4441860465116279,0.512506902217865,2,2,2,1,430,0.1511627906976744,,,0.5953488372093023,0.14651162790697675,0.4441860465116279,,,,,,,,,,,,,1,0.5953488372093023,False,138
Body,0.9897435897435898,Body,0.9897435897435898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.49675253033638,1,1,1,1,195,0.9897435897435898,0.9897435897435898,,,,,,,,,,,,,,,,,414,0.9897435897435898,False,144
Body,0.5364806866952789,Body,0.5364806866952789,0.0,0.33047210300429186,0.0,0.0,0.0,0.0,0.09871244635193133,rh,0.33047210300429186,0.45591914653778076,2,2,1,1,233,0.20600858369098707,0.5364806866952789,,,,,,0.33047210300429186,,,0.09871244635193133,,,,,,,,38,0.5364806866952789,False,153
Body,0.8075117370892019,Body,0.8075117370892019,0.0,0.6150234741784038,0.0,0.0,0.0,0.0,0.0,rh,0.6150234741784038,0.3597140610218048,2,2,2,2,213,0.19248826291079812,0.8075117370892019,,,,,,0.6150234741784038,,,,,,,,,,,194,0.8075117370892019,True,185
Scene,0.8818897637795275,Scene,0.0,0.0,0.8818897637795275,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.6811837553977966,1,1,1,1,381,0.8818897637795275,,,,,,,,0.8818897637795275,,,,,,,,,,12,0.8818897637795275,False,10
Scene,1.0,Scene,0.10091743119266056,0.0,1.0,0.0,0.0,0.0,0.0,0.0,lh,0.10091743119266056,0.5547806024551392,2,1,1,1,109,0.8990825688073394,0.10091743119266056,,,,,,1.0,,,,,,,,,,,185,1.0,False,21
Scene,0.803921568627451,Scene,0.0,0.0,0.803921568627451,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.5457936525344849,1,1,1,1,102,0.803921568627451,,,,,,,,,0.803921568627451,,,,,,,,,62,0.803921568627451,False,23
Scene,0.7621621621621621,Scene,0.0,0.0,0.7621621621621621,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.5441173315048218,1,1,1,1,370,0.7621621621621621,,,,,,,0.7621621621621621,,,,,,,,,,,71,0.7621621621621621,False,24
Scene,0.75,Scene,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.5363700985908508,1,1,1,1,80,0.75,,,,,,,,,0.75,,,,,,,,,54,0.75,False,25
Scene,1.0,Scene,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.5202304720878601,1,1,1,1,146,1.0,,,,,,,1.0,,,,,,,,,,,188,1.0,False,29
Scene,0.6125827814569537,Scene,0.0,0.0,0.6125827814569537,0.0,0.0,0.0695364238410596,0.0,0.0,lh,0.0695364238410596,0.5175578594207764,1,1,1,1,302,0.543046357615894,,,,,,,0.6125827814569537,,,,,,,,0.0695364238410596,,,69,0.6125827814569537,False,30
Scene,0.50177304964539,Scene,0.0,0.0,0.50177304964539,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.5118691921234131,1,1,1,1,564,0.50177304964539,,,,,,,,0.50177304964539,,,,,,,,,,7,0.50177304964539,False,34
Scene,0.9453125,Scene,0.078125,0.0,0.9453125,0.0,0.0,0.0,0.0,0.0,lh,0.078125,0.4810301959514618,1,1,1,1,128,0.8671875,0.078125,,,,,,0.9453125,,,,,,,,,,,64,0.9453125,False,40
Scene,0.7355769230769231,Scene,0.0,0.0,0.7355769230769231,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.4684760272502899,1,1,1,1,208,0.7355769230769231,,,,,,,0.7355769230769231,,,,,,,,,,,187,0.7355769230769231,False,45
Scene,0.7104072398190046,Scene,0.0,0.0,0.7104072398190046,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.4430970847606659,1,1,1,1,221,0.7104072398190046,,,,,,,0.7104072398190046,,,,,,,,,,,73,0.7104072398190046,False,51
Scene,0.7137681159420289,Scene,0.0,0.0,0.7137681159420289,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.4278430640697479,1,1,1,1,276,0.7137681159420289,,,,,,,0.7137681159420289,,,,,,,,,,,76,0.7137681159420289,False,57
Scene,0.8688524590163934,Scene,0.5286885245901639,0.0,0.8688524590163934,0.0,0.0,0.0,0.0,0.0,lh,0.5286885245901639,0.3902663290500641,2,2,2,2,244,0.3401639344262295,0.5286885245901639,,,,,,0.8688524590163934,,,,,,,,,,,186,0.8688524590163934,True,62
Scene,1.0,Scene,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.3491996228694916,1,1,1,1,276,1.0,,,,,,,,1.0,,,,,,,,,,4,1.0,False,75
Scene,0.9920948616600791,Scene,0.0,0.0,0.9920948616600791,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.560015857219696,1,1,1,1,253,0.9920948616600791,,,,,,,0.9920948616600791,,,,,,,,,,,68,0.9920948616600791,False,126
Scene,0.6675461741424802,Scene,0.0,0.0,0.6675461741424802,0.0,0.0,0.17941952506596306,0.0,0.0,rh,0.17941952506596306,0.5553853511810303,2,1,1,1,379,0.48812664907651715,,,,,,,0.6675461741424802,,,,,,,,0.17941952506596306,,,50,0.6675461741424802,False,127
Scene,0.8444444444444444,Scene,0.0,0.0,0.8444444444444444,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.5537439584732056,1,1,1,1,315,0.8444444444444444,,,,,,,0.8444444444444444,,,,,,,,,,,76,0.8444444444444444,False,128
Scene,0.6193548387096774,Scene,0.0,0.0,0.6193548387096774,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.5432421565055847,1,1,1,1,310,0.6193548387096774,,,,,,,,0.6193548387096774,,,,,,,,,,6,0.6193548387096774,False,132
Scene,0.9678714859437751,Scene,0.0,0.0,0.9678714859437751,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.5278515219688416,1,1,1,1,249,0.9678714859437751,,,,,,,,0.9678714859437751,,,,,,,,,,12,0.9678714859437751,False,135
Scene,0.8819875776397516,Scene,0.0,0.0,0.8819875776397516,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.5084714889526367,1,1,1,1,161,0.8819875776397516,,,,,,,0.8819875776397516,,,,,,,,,,,61,0.8819875776397516,False,139
Scene,0.7802197802197802,Scene,0.0,0.0,0.7802197802197802,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.5040353536605835,1,1,1,1,182,0.7802197802197802,,,,,,,0.7802197802197802,,,,,,,,,,,71,0.7802197802197802,False,140
Scene,0.6566820276497696,Scene,0.0,0.0,0.6566820276497696,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.5007970333099365,1,1,1,1,434,0.6566820276497696,,,,,,,,,0.6566820276497696,,,,,,,,,483,0.6566820276497696,False,141
Scene,0.5294117647058824,Scene,0.0,0.0,0.5294117647058824,0.0,0.0,0.014705882352941176,0.0,0.0,rh,0.014705882352941176,0.4983658790588379,1,1,1,1,204,0.5147058823529412,,,,,,,0.5294117647058824,,,,,,,,0.014705882352941176,,,66,0.5294117647058824,False,142
Scene,0.5601851851851852,Scene,0.0,0.0,0.5601851851851852,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.49633944034576416,1,1,1,1,216,0.5601851851851852,,,,,,,,0.5601851851851852,,,,,,,,,,14,0.5601851851851852,False,145
Scene,0.82,Scene,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.44249382615089417,1,1,1,1,250,0.82,,,,,,,0.82,,,,,,,,,,,75,0.82,False,156
Scene,0.6464435146443515,Scene,0.0,0.0,0.6464435146443515,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.42318758368492126,1,1,1,1,478,0.6464435146443515,,,,,,,,,0.6464435146443515,,,,,,,,,481,0.6464435146443515,False,159
Scene,0.9895833333333334,Scene,0.7447916666666666,0.0,0.9895833333333334,0.0,0.0,0.0,0.0,0.0,rh,0.7447916666666666,0.4048229157924652,2,2,2,2,192,0.24479166666666674,0.7447916666666666,,,,,,0.9895833333333334,,,,,,,,,,,55,0.9895833333333334,True,163
Scene,0.9692307692307692,Scene,0.05846153846153846,0.0,0.9692307692307692,0.0,0.0,0.0,0.0,0.0,rh,0.05846153846153846,0.40456563234329224,1,1,1,1,325,0.9107692307692308,0.05846153846153846,,,,,,0.9692307692307692,,,,,,,,,,,51,0.9692307692307692,False,164
Scene,0.7157360406091371,Scene,0.0,0.0,0.7157360406091371,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.4017547070980072,1,1,1,1,197,0.7157360406091371,,,,,,,0.7157360406091371,,,,,,,,,,,196,0.7157360406091371,False,165
Scene,0.6046511627906976,Scene,0.0,0.0,0.6046511627906976,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.3879193663597107,1,1,1,1,172,0.6046511627906976,,,,,,,0.6046511627906976,,,,,,,,,,,59,0.6046511627906976,False,169
Scene,0.8663793103448276,Scene,0.0,0.0,0.8663793103448276,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.35353654623031616,1,1,1,1,232,0.8663793103448276,,,,,,,0.8663793103448276,,,,,,,,,,,65,0.8663793103448276,False,186
