control_replicate,control_token_index,design,dominant_overlap,dominant_roi,group_overlap__Body,group_overlap__Face,group_overlap__Scene,group_overlap__V1,group_overlap__V2,group_overlap__V3,group_overlap__V4,group_overlap__Word,hemisphere,max_off_target_overlap,mean_ncsnr,num_groups_ge_0.10,num_groups_ge_0.25,num_groups_ge_0.40,num_groups_ge_0.50,num_vertices,purity_margin,roi_overlap__floc-bodies__EBA,roi_overlap__floc-bodies__FBA-1,roi_overlap__floc-bodies__FBA-2,roi_overlap__floc-faces__FFA-1,roi_overlap__floc-faces__FFA-2,roi_overlap__floc-faces__OFA,roi_overlap__floc-places__OPA,roi_overlap__floc-places__PPA,roi_overlap__floc-places__RSC,roi_overlap__floc-words__OWFA,roi_overlap__floc-words__VWFA-1,roi_overlap__floc-words__VWFA-2,roi_overlap__floc-words__mfs-words,roi_overlap__prf-visualrois__V1d,roi_overlap__prf-visualrois__V1v,roi_overlap__prf-visualrois__V2d,roi_overlap__prf-visualrois__V2v,roi_overlap__prf-visualrois__V3d,roi_overlap__prf-visualrois__V3v,roi_overlap__prf-visualrois__hV4,schaefer_parcel_index,target_category,target_group_max_overlap,target_off_target_dual_high_overlap,target_overlap_ge_0.10,target_overlap_ge_0.25,target_overlap_ge_0.40,target_overlap_ge_0.50,top200_token_index
4,42,full,0.5432692307692307,Body,0.5432692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.3701923076923077,lh,0.5432692307692307,0.4748196601867676,2,2,1,1,208,-0.5432692307692307,0.5432692307692307,,,,,,,,,,0.3701923076923077,,,,,,,,,,178,Face,0.0,False,False,False,False,False,42
4,157,full,0.5892255892255892,V2,0.0,0.0,0.0,0.367003367003367,0.5892255892255892,0.003367003367003367,0.0,0.0,rh,0.5892255892255892,0.4358782470226288,2,2,1,1,297,-0.5892255892255892,,,,,,,,,,,,,,0.04040404040404041,0.367003367003367,,0.5892255892255892,,0.003367003367003367,,26,Face,0.0,False,False,False,False,False,157
5,26,full,0.7528089887640449,V4,0.0,0.0,0.0,0.0,0.0,0.21348314606741572,0.7528089887640449,0.0,lh,0.7528089887640449,0.5347240567207336,2,1,1,1,178,-0.7528089887640449,,,,,,,,,,,,,,,,,,,0.21348314606741572,0.7528089887640449,9,Face,0.0,False,False,False,False,False,26
5,33,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.5133366584777832,0,0,0,0,256,0.0,,,,,,,,,,,,,,,,,,,,,191,Face,0.0,False,False,False,False,False,33
5,38,full,0.9536585365853658,Word,0.17073170731707318,0.17560975609756097,0.0,0.0,0.0,0.0,0.0,0.9536585365853658,lh,0.9536585365853658,0.48745402693748474,3,1,1,1,410,-0.7780487804878049,0.0024390243902439024,0.17073170731707318,,0.17560975609756097,,,,,,,0.9536585365853658,,,,,,,,,,11,Face,0.17560975609756097,False,True,False,False,False,38
5,154,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.45569831132888794,0,0,0,0,292,0.0,,,,,,,,,,,,,,,,,,,,,249,Face,0.0,False,False,False,False,False,154
1,10,full,0.8818897637795275,Scene,0.0,0.0,0.8818897637795275,0.0,0.0,0.0,0.0,0.0,lh,0.8818897637795275,0.6811837553977966,1,1,1,1,381,-0.8818897637795275,,,,,,,,0.8818897637795275,,,,,,,,,,,,,12,Body,0.0,False,False,False,False,False,10
1,14,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.06748466257668712,0.08588957055214724,0.0,lh,0.08588957055214724,0.6395871043205261,0,0,0,0,326,-0.08588957055214724,,,,,,,,,,,,,,,,,,,0.06748466257668712,0.08588957055214724,10,Body,0.0,False,False,False,False,False,14
1,16,full,0.8321167883211679,Face,0.7664233576642335,0.8321167883211679,0.0,0.0,0.0,0.0,0.0,0.27007299270072993,lh,0.8321167883211679,0.6251530051231384,3,3,2,2,137,-0.06569343065693434,,0.7664233576642335,,0.8321167883211679,,,,,,,0.27007299270072993,,,,,,,,,,6,Body,0.7664233576642335,True,True,True,True,True,16
1,17,full,0.7777777777777778,V1,0.0,0.0,0.0,0.7777777777777778,0.06790123456790123,0.0,0.0,0.0,lh,0.7777777777777778,0.6222882866859436,1,1,1,1,162,-0.7777777777777778,,,,,,,,,,,,,,0.7777777777777778,,0.06790123456790123,,,,,51,Body,0.0,False,False,False,False,False,17
1,19,full,0.0,Unlabeled,0.0,0.0,0.33516483516483514,0.0,0.0,0.31868131868131866,0.0,0.0,lh,0.33516483516483514,0.5719456672668457,2,2,0,0,182,-0.33516483516483514,,,,,,,0.33516483516483514,,,,,,,,,,,0.31868131868131866,,,63,Body,0.0,False,False,False,False,False,19
1,24,full,0.7621621621621621,Scene,0.0,0.0,0.7621621621621621,0.0,0.0,0.0,0.0,0.0,lh,0.7621621621621621,0.5441173315048218,1,1,1,1,370,-0.7621621621621621,,,,,,,0.7621621621621621,,,,,,,,,,,,,,71,Body,0.0,False,False,False,False,False,24
1,29,full,1.0,Scene,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,lh,1.0,0.5202304720878601,1,1,1,1,146,-1.0,,,,,,,1.0,,,,,,,,,,,,,,188,Body,0.0,False,False,False,False,False,29
1,30,full,0.6125827814569537,Scene,0.0,0.0,0.6125827814569537,0.0,0.0,0.0695364238410596,0.0,0.0,lh,0.6125827814569537,0.5175578594207764,1,1,1,1,302,-0.6125827814569537,,,,,,,0.6125827814569537,,,,,,,,,,,0.0695364238410596,,,69,Body,0.0,False,False,False,False,False,30
1,45,full,0.7355769230769231,Scene,0.0,0.0,0.7355769230769231,0.0,0.0,0.0,0.0,0.0,lh,0.7355769230769231,0.4684760272502899,1,1,1,1,208,-0.7355769230769231,,,,,,,0.7355769230769231,,,,,,,,,,,,,,187,Body,0.0,False,False,False,False,False,45
1,48,full,0.5955555555555555,V4,0.0,0.49333333333333335,0.0,0.0,0.0,0.0,0.5955555555555555,0.48,lh,0.5955555555555555,0.45930930972099304,3,3,3,1,225,-0.5955555555555555,,,,,,0.49333333333333335,,,,0.44,0.48,,,,,,,,,0.5955555555555555,14,Body,0.0,False,False,False,False,False,48
1,49,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.45416495203971863,0,0,0,0,365,0.0,,,,,,,,,,,,,,,,,,,,,233,Body,0.0,False,False,False,False,False,49
1,103,full,0.6197916666666666,V2,0.0,0.0,0.0,0.3802083333333333,0.6197916666666666,0.0,0.0,0.0,rh,0.6197916666666666,0.7783543467521667,2,2,1,1,192,-0.6197916666666666,,,,,,,,,,,,,,,0.3802083333333333,,0.6197916666666666,,,,24,Body,0.0,False,False,False,False,False,103
1,107,full,0.0,Unlabeled,0.0,0.0,0.0,0.4477124183006536,0.13398692810457516,0.0,0.0,0.0,rh,0.4477124183006536,0.7308821678161621,2,1,1,0,306,-0.4477124183006536,,,,,,,,,,,,,,0.4477124183006536,0.41830065359477125,,0.13398692810457516,,,,28,Body,0.0,False,False,False,False,False,107
1,108,full,0.7094339622641509,V1,0.0,0.0,0.0,0.7094339622641509,0.0,0.0,0.0,0.0,rh,0.7094339622641509,0.7057465314865112,1,1,1,1,265,-0.7094339622641509,,,,,,,,,,,,,,0.7094339622641509,0.18867924528301888,,,,,,37,Body,0.0,False,False,False,False,False,108
1,112,full,0.6417322834645669,V4,0.0,0.0,0.0,0.0,0.0,0.35826771653543305,0.6417322834645669,0.0,rh,0.6417322834645669,0.671980082988739,2,2,1,1,254,-0.6417322834645669,,,,,,,,,,,,,,,,,,,0.35826771653543305,0.6417322834645669,11,Body,0.0,False,False,False,False,False,112
1,115,full,0.0,Unlabeled,0.0,0.0,0.0,0.010526315789473684,0.2912280701754386,0.4280701754385965,0.0,0.08421052631578947,rh,0.4280701754385965,0.6453737616539001,2,2,1,0,285,-0.4280701754385965,,,,,,,,,,0.08421052631578947,,,,0.010526315789473684,0.010526315789473684,0.2912280701754386,0.10877192982456141,0.4280701754385965,0.028070175438596492,,29,Body,0.0,False,False,False,False,False,115
1,120,full,0.0,Unlabeled,0.3746958637469586,0.0,0.0,0.0,0.0,0.0,0.0,0.0535279805352798,rh,0.0535279805352798,0.5772696137428284,1,1,0,0,411,0.32116788321167883,0.3746958637469586,,,,,,,,,,0.0535279805352798,,,,,,,,,,189,Body,0.3746958637469586,False,True,True,False,False,120
1,121,full,0.0,Unlabeled,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.5746031403541565,0,0,0,0,284,0.007042253521126761,0.007042253521126761,,,,,,,,,,,,,,,,,,,,245,Body,0.007042253521126761,False,False,False,False,False,121
1,126,full,0.9920948616600791,Scene,0.0,0.0,0.9920948616600791,0.0,0.0,0.0,0.0,0.0,rh,0.9920948616600791,0.560015857219696,1,1,1,1,253,-0.9920948616600791,,,,,,,0.9920948616600791,,,,,,,,,,,,,,68,Body,0.0,False,False,False,False,False,126
1,127,full,0.6675461741424802,Scene,0.0,0.0,0.6675461741424802,0.0,0.0,0.17941952506596306,0.0,0.0,rh,0.6675461741424802,0.5553853511810303,2,1,1,1,379,-0.6675461741424802,,,,,,,0.6675461741424802,,,,,,,,,,,0.17941952506596306,,,50,Body,0.0,False,False,False,False,False,127
1,139,full,0.8819875776397516,Scene,0.0,0.0,0.8819875776397516,0.0,0.0,0.0,0.0,0.0,rh,0.8819875776397516,0.5084714889526367,1,1,1,1,161,-0.8819875776397516,,,,,,,0.8819875776397516,,,,,,,,,,,,,,61,Body,0.0,False,False,False,False,False,139
1,142,full,0.5294117647058824,Scene,0.0,0.0,0.5294117647058824,0.0,0.0,0.014705882352941176,0.0,0.0,rh,0.5294117647058824,0.4983658790588379,1,1,1,1,204,-0.5294117647058824,,,,,,,0.5294117647058824,,,,,,,,,,,0.014705882352941176,,,66,Body,0.0,False,False,False,False,False,142
1,168,full,0.0,Unlabeled,0.4474708171206226,0.4980544747081712,0.0,0.0,0.0,0.0,0.17120622568093385,0.0038910505836575876,rh,0.4980544747081712,0.3911610245704651,3,2,2,0,257,-0.050583657587548625,,0.4474708171206226,0.0038910505836575876,0.4980544747081712,,,,,,,0.0038910505836575876,,,,,,,,,0.17120622568093385,5,Body,0.4474708171206226,False,True,True,True,False,168
1,183,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.3607761263847351,0,0,0,0,193,0.0,,,,,,,,,,,,,,,,,,,,,216,Body,0.0,False,False,False,False,False,183
2,3,full,0.5196078431372549,V3,0.0,0.0,0.0,0.0,0.4803921568627451,0.5196078431372549,0.0,0.0,lh,0.5196078431372549,0.7609300017356873,2,2,2,1,204,-0.5196078431372549,,,,,,,,,,,,,,,,0.4803921568627451,,0.5196078431372549,,,57,Body,0.0,False,False,False,False,False,3
2,10,full,0.8818897637795275,Scene,0.0,0.0,0.8818897637795275,0.0,0.0,0.0,0.0,0.0,lh,0.8818897637795275,0.6811837553977966,1,1,1,1,381,-0.8818897637795275,,,,,,,,0.8818897637795275,,,,,,,,,,,,,12,Body,0.0,False,False,False,False,False,10
2,20,full,0.5092592592592593,V3,0.0,0.05555555555555555,0.0,0.0,0.4166666666666667,0.5092592592592593,0.0,0.0,lh,0.5092592592592593,0.5701537728309631,2,2,2,1,216,-0.5092592592592593,,,,,,0.05555555555555555,,,,,,,,,,0.4166666666666667,0.037037037037037035,0.5092592592592593,0.032407407407407406,,32,Body,0.0,False,False,False,False,False,20
2,29,full,1.0,Scene,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,lh,1.0,0.5202304720878601,1,1,1,1,146,-1.0,,,,,,,1.0,,,,,,,,,,,,,,188,Body,0.0,False,False,False,False,False,29
2,35,full,0.0,Unlabeled,0.0,0.0,0.48863636363636365,0.0,0.0,0.0,0.0,0.0,lh,0.48863636363636365,0.5053406357765198,1,1,1,0,176,-0.48863636363636365,,,,,,,0.48863636363636365,,,,,,,,,,,,,,189,Body,0.0,False,False,False,False,False,35
2,36,full,0.0,Unlabeled,0.244,0.0,0.0,0.0,0.0,0.108,0.0,0.204,lh,0.204,0.4952622056007385,3,0,0,0,250,0.04000000000000001,0.244,,,,,,,,,0.204,,,,,,,,0.108,,,33,Body,0.244,False,True,False,False,False,36
2,38,full,0.9536585365853658,Word,0.17073170731707318,0.17560975609756097,0.0,0.0,0.0,0.0,0.0,0.9536585365853658,lh,0.9536585365853658,0.48745402693748474,3,1,1,1,410,-0.7829268292682926,0.0024390243902439024,0.17073170731707318,,0.17560975609756097,,,,,,,0.9536585365853658,,,,,,,,,,11,Body,0.17073170731707318,False,True,False,False,False,38
2,40,full,0.9453125,Scene,0.078125,0.0,0.9453125,0.0,0.0,0.0,0.0,0.0,lh,0.9453125,0.4810301959514618,1,1,1,1,128,-0.8671875,0.078125,,,,,,0.9453125,,,,,,,,,,,,,,64,Body,0.078125,False,False,False,False,False,40
2,49,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.45416495203971863,0,0,0,0,365,0.0,,,,,,,,,,,,,,,,,,,,,233,Body,0.0,False,False,False,False,False,49
2,53,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lh,0.0,0.4396008551120758,0,0,0,0,305,0.0,,,,,,,,,,,,,,,,,,,,,200,Body,0.0,False,False,False,False,False,53
2,58,full,0.0,Unlabeled,0.0,0.0,0.29385964912280704,0.0,0.0,0.0,0.0,0.0,lh,0.29385964912280704,0.4188014268875122,1,1,0,0,228,-0.29385964912280704,,,,,,,,,0.29385964912280704,,,,,,,,,,,,471,Body,0.0,False,False,False,False,False,58
2,100,full,0.0,Unlabeled,0.375609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.8820629119873047,1,1,0,0,205,0.375609756097561,0.375609756097561,,,,,,,,,,,,,,,,,,,,190,Body,0.375609756097561,False,True,True,False,False,100
2,112,full,0.6417322834645669,V4,0.0,0.0,0.0,0.0,0.0,0.35826771653543305,0.6417322834645669,0.0,rh,0.6417322834645669,0.671980082988739,2,2,1,1,254,-0.6417322834645669,,,,,,,,,,,,,,,,,,,0.35826771653543305,0.6417322834645669,11,Body,0.0,False,False,False,False,False,112
2,115,full,0.0,Unlabeled,0.0,0.0,0.0,0.010526315789473684,0.2912280701754386,0.4280701754385965,0.0,0.08421052631578947,rh,0.4280701754385965,0.6453737616539001,2,2,1,0,285,-0.4280701754385965,,,,,,,,,,0.08421052631578947,,,,0.010526315789473684,0.010526315789473684,0.2912280701754386,0.10877192982456141,0.4280701754385965,0.028070175438596492,,29,Body,0.0,False,False,False,False,False,115
2,116,full,0.5745614035087719,V3,0.0,0.0,0.021929824561403508,0.0,0.2675438596491228,0.5745614035087719,0.0,0.0,rh,0.5745614035087719,0.6341803073883057,2,2,1,1,228,-0.5745614035087719,,,,,,,0.021929824561403508,,,,,,,,,0.2675438596491228,,0.5745614035087719,,,57,Body,0.0,False,False,False,False,False,116
2,119,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.5871975421905518,0,0,0,0,244,0.0,,,,,,,,,,,,,,,,,,,,,224,Body,0.0,False,False,False,False,False,119
2,121,full,0.0,Unlabeled,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.5746031403541565,0,0,0,0,284,0.007042253521126761,0.007042253521126761,,,,,,,,,,,,,,,,,,,,245,Body,0.007042253521126761,False,False,False,False,False,121
2,124,full,0.5807453416149069,V2,0.0,0.0,0.0,0.059006211180124224,0.5807453416149069,0.36024844720496896,0.0,0.0,rh,0.5807453416149069,0.563030481338501,2,2,1,1,322,-0.5807453416149069,,,,,,,,,,,,,,0.059006211180124224,,0.5807453416149069,,0.36024844720496896,,,44,Body,0.0,False,False,False,False,False,124
2,129,full,0.0,Unlabeled,0.18666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.5526844263076782,1,0,0,0,300,0.18666666666666668,0.18666666666666668,,,,,,,,,,,,,,,,,,,,412,Body,0.18666666666666668,False,True,False,False,False,129
2,131,full,0.0,Unlabeled,0.0,0.0,0.1437308868501529,0.0,0.0,0.0,0.0,0.0,rh,0.1437308868501529,0.5463010668754578,1,0,0,0,327,-0.1437308868501529,,,,,,,,0.1437308868501529,,,,,,,,,,,,,8,Body,0.0,False,False,False,False,False,131
2,135,full,0.9678714859437751,Scene,0.0,0.0,0.9678714859437751,0.0,0.0,0.0,0.0,0.0,rh,0.9678714859437751,0.5278515219688416,1,1,1,1,249,-0.9678714859437751,,,,,,,,0.9678714859437751,,,,,,,,,,,,,12,Body,0.0,False,False,False,False,False,135
2,140,full,0.7802197802197802,Scene,0.0,0.0,0.7802197802197802,0.0,0.0,0.0,0.0,0.0,rh,0.7802197802197802,0.5040353536605835,1,1,1,1,182,-0.7802197802197802,,,,,,,0.7802197802197802,,,,,,,,,,,,,,71,Body,0.0,False,False,False,False,False,140
2,149,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.47452762722969055,0,0,0,0,262,0.0,,,,,,,,,,,,,,,,,,,,,387,Body,0.0,False,False,False,False,False,149
2,180,full,0.0,Unlabeled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rh,0.0,0.3636428713798523,0,0,0,0,223,0.0,,,,,,,,,,,,,,,,,,,,,390,Body,0.0,False,False,False,False,False,180
3,5,full,0.550314465408805,V1,0.0,0.0,0.0,0.550314465408805,0.2672955974842767,0.0,0.0,0.0,lh,0.550314465408805,0.7401266098022461,2,2,1,1,318,-0.550314465408805,,,,,,,,,,,,,,,0.550314465408805,,0.2672955974842767,,,,26,Body,0.0,False,False,False,False,False,5
3,10,full,0.8818897637795275,Scene,0.0,0.0,0.8818897637795275,0.0,0.0,0.0,0.0,0.0,lh,0.8818897637795275,0.6811837553977966,1,1,1,1,381,-0.8818897637795275,,,,,,,,0.8818897637795275,,,,,,,,,,,,,12,Body,0.0,False,False,False,False,False,10
3,19,full,0.0,Unlabeled,0.0,0.0,0.33516483516483514,0.0,0.0,0.31868131868131866,0.0,0.0,lh,0.33516483516483514,0.5719456672668457,2,2,0,0,182,-0.33516483516483514,,,,,,,0.33516483516483514,,,,,,,,,,,0.31868131868131866,,,63,Body,0.0,False,False,False,False,False,19
3,22,full,0.5540540540540541,Face,0.0,0.5540540540540541,0.0,0.0,0.036036036036036036,0.527027027027027,0.22522522522522523,0.2972972972972973,lh,0.5540540540540541,0.552130937576294,4,3,2,2,222,-0.5540540540540541,,,,,,0.5540540540540541,,,,0.2972972972972973,,,,,,,0.036036036036036036,,0.527027027027027,0.22522522522522523,23,Body,0.0,False,False,False,False,False,22
3,24,full,0.7621621621621621,Scene,0.0,0.0,0.7621621621621621,0.0,0.0,0.0,0.0,0.0,lh,0.7621621621621621,0.5441173315048218,1,1,1,1,370,-0.7621621621621621,,,,,,,0.7621621621621621,,,,,,,,,,,,,,71,Body,0.0,False,False,False,False,False,24
3,26,full,0.7528089887640449,V4,0.0,0.0,0.0,0.0,0.0,0.21348314606741572,0.7528089887640449,0.0,lh,0.7528089887640449,0.5347240567207336,2,1,1,1,178,-0.7528089887640449,,,,,,,,,,,,,,,,,,,0.21348314606741572,0.7528089887640449,9,Body,0.0,False,False,False,False,False,26
3,29,full,1.0,Scene,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,lh,1.0,0.5202304720878601,1,1,1,1,146,-1.0,,,,,,,1.0,,,,,,,,,,,,,,188,Body,0.0,False,False,False,False,False,29
3,31,full,0.0,Unlabeled,0.37423312883435583,0.4662576687116564,0.0,0.0,0.0,0.0,0.0,0.3098159509202454,lh,0.4662576687116564,0.514133870601654,3,3,1,0,326,-0.09202453987730058,0.37423312883435583,,,,,0.4662576687116564,,,,0.3098159509202454,0.2361963190184049,,,,,,,,,,28,Body,0.37423312883435583,False,True,True,False,False,31
3,47,full,0.0,Unlabeled,0.031746031746031744,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,lh,0.23809523809523808,0.4623631536960602,1,0,0,0,252,-0.20634920634920634,,0.031746031746031744,,0.023809523809523808,,,,,,,,,0.23809523809523808,,,,,,,,3,Body,0.031746031746031744,False,False,False,False,False,47
3,51,full,0.7104072398190046,Scene,0.0,0.0,0.7104072398190046,0.0,0.0,0.0,0.0,0.0,lh,0.7104072398190046,0.4430970847606659,1,1,1,1,221,-0.7104072398190046,,,,,,,0.7104072398190046,,,,,,,,,,,,,,73,Body,0.0,False,False,False,False,False,51
3,55,full,0.0,Unlabeled,0.0,0.0,0.05573770491803279,0.0,0.0,0.0,0.0,0.0,lh,0.05573770491803279,0.42933809757232666,0,0,0,0,305,-0.05573770491803279,,,,,,,0.05573770491803279,,,,,,,,,,,,,,192,Body,0.0,False,False,False,False,False,55
3,103,full,0.6197916666666666,V2,0.0,0.0,0.0,0.3802083333333333,0.6197916666666666,0.0,0.0,0.0,rh,0.6197916666666666,0.7783543467521667,2,2,1,1,192,-0.6197916666666666,,,,,,,,,,,,,,,0.3802083333333333,,0.6197916666666666,,,,24,Body,0.0,False,False,False,False,False,103
3,108,full,0.7094339622641509,V1,0.0,0.0,0.0,0.7094339622641509,0.0,0.0,0.0,0.0,rh,0.7094339622641509,0.7057465314865112,1,1,1,1,265,-0.7094339622641509,,,,,,,,,,,,,,0.7094339622641509,0.18867924528301888,,,,,,37,Body,0.0,False,False,False,False,False,108
3,115,full,0.0,Unlabeled,0.0,0.0,0.0,0.010526315789473684,0.2912280701754386,0.4280701754385965,0.0,0.08421052631578947,rh,0.4280701754385965,0.6453737616539001,2,2,1,0,285,-0.4280701754385965,,,,,,,,,,0.08421052631578947,,,,0.010526315789473684,0.010526315789473684,0.2912280701754386,0.10877192982456141,0.4280701754385965,0.028070175438596492,,29,Body,0.0,False,False,False,False,False,115
3,116,full,0.5745614035087719,V3,0.0,0.0,0.021929824561403508,0.0,0.2675438596491228,0.5745614035087719,0.0,0.0,rh,0.5745614035087719,0.6341803073883057,2,2,1,1,228,-0.5745614035087719,,,,,,,0.021929824561403508,,,,,,,,,0.2675438596491228,,0.5745614035087719,,,57,Body,0.0,False,False,False,False,False,116
